player_id,full_name,first_name,last_name,team_id,position,uniform_number,birthdate,college,height,weight,years_pro,status
4240,Lance Ball,Lance,Ball,None,None,None,1985-06-19,Maryland,69,224,5,None
746,Ronnie Brown,Ronnie,Brown,None,None,30,1981-12-12,Auburn,72,223,10,None
7091,Aaron Jones,Aaron,Jones,GB,RB,33,1994-12-02,Texas-El Paso,69,208,None,ACT
147,C.J. Anderson,C.J.,Anderson,DEN,RB,22,1991-02-10,California,68,224,5,ACT
3245,Bobby Rainey,Bobby,Rainey,BAL,RB,31,1987-10-16,Western Kentucky,68,212,6,ACT
4278,Cadillac Williams,Cadillac,Williams,None,None,None,1982-04-21,Auburn,71,218,7,None
3419,Wendell Smallwood,Wendell,Smallwood,PHI,RB,28,1994-01-20,West Virginia,70,208,2,ACT
4856,Raheem Mostert,Raheem,Mostert,SF,RB,31,1992-04-09,Purdue,70,197,3,ACT
4255,Joique Bell,Joique,Bell,None,None,35,1986-08-04,Wayne State (Mich.),71,231,5,None
3304,Bishop Sankey,Bishop,Sankey,MIN,RB,43,1992-09-15,Washington,70,213,3,RES
4102,Benny Cunningham,Benny,Cunningham,CHI,RB,30,1990-07-07,Middle Tennessee State,70,218,5,ACT
3355,Bernard Pierce,Bernard,Pierce,None,None,30,1991-05-10,Temple,72,222,4,None
5372,Jahvid Best,Jahvid,Best,None,None,None,1989-01-30,California,70,199,3,None
4743,Chris Polk,Chris,Polk,None,None,22,1989-12-16,Washington,71,222,4,None
405,Laurence Maroney,Laurence,Maroney,None,None,None,1985-02-05,Minnesota,71,220,5,None
292,David Johnson,David,Johnson,ARI,RB,31,1991-12-16,Northern Iowa,73,224,3,RES
5288,Michael Turner,Michael,Turner,None,None,None,1982-02-13,Northern Illinois,70,247,9,None
805,Isaiah Crowell,Isaiah,Crowell,CLE,RB,34,1993-01-08,Alabama State,71,225,4,ACT
3650,Alex Collins,Alex,Collins,BAL,RB,34,1994-08-26,Arkansas,70,210,2,ACT
1809,Lamar Miller,Lamar,Miller,HOU,RB,26,1991-04-25,Miami (Fla.),70,225,6,ACT
4664,LeSean McCoy,LeSean,McCoy,BUF,RB,25,1988-07-12,Pittsburgh,71,210,9,ACT
1567,Trent Richardson,Trent,Richardson,None,None,33,1990-07-10,Alabama,69,230,4,None
3091,Jay Ajayi,Jay,Ajayi,MIA,RB,23,1993-06-15,Boise State,72,223,3,ACT
7045,Jamaal Williams,Jamaal,Williams,GB,RB,30,1995-04-03,Brigham Young,72,213,None,ACT
1705,D.J. Foster,D.J.,Foster,ARI,RB,37,1993-11-22,Arizona State,72,195,2,ACT
4158,Devonta Freeman,Devonta,Freeman,ATL,RB,24,1992-03-15,Florida State,68,206,4,ACT
254,Ryan Mathews,Ryan,Mathews,None,None,24,1987-10-10,Fresno State,72,220,7,None
1816,Daryl Richardson,Daryl,Richardson,None,None,38,1990-04-12,Abilene Christian,71,196,3,None
37,Correll Buckhalter,Correll,Buckhalter,None,None,None,1978-10-06,Nebraska,72,223,10,None
421,Theo Riddick,Theo,Riddick,DET,RB,25,1991-05-04,Notre Dame,69,201,5,ACT
7036,Christian McCaffrey,Christian,McCaffrey,CAR,RB,22,1996-06-07,Stanford,71,205,None,ACT
1343,Mark Ingram,Mark,Ingram,NO,RB,22,1989-12-21,Alabama,69,215,7,ACT
4966,Bernard Scott,Bernard,Scott,None,None,34,1984-02-10,Abilene Christian,70,195,5,None
128,Jalen Richard,Jalen,Richard,OAK,RB,30,1993-10-15,Southern Mississippi,68,205,2,ACT
1663,LaRod Stephens-Howling,LaRod,Stephens-Howling,None,None,34,1987-04-26,Pittsburgh,67,185,5,None
5634,Darren Sproles,Darren,Sproles,PHI,RB,43,1983-06-20,Kansas State,66,190,13,RES
2144,Roy Helu,Roy,Helu,None,None,26,1988-12-07,Nebraska,71,220,5,None
4938,Terrance West,Terrance,West,BAL,RB,28,1991-01-28,Towson,70,225,4,ACT
3313,Ty Montgomery,Ty,Montgomery,GB,RB,88,1993-01-22,Stanford,72,216,3,ACT
5066,Thomas Jones,Thomas,Jones,None,None,None,1978-08-19,Virginia,70,212,12,None
2173,Kenjon Barner,Kenjon,Barner,PHI,RB,38,1990-04-28,Oregon,69,195,4,ACT
2745,Tevin Coleman,Tevin,Coleman,ATL,RB,26,1993-04-16,Indiana,73,210,3,ACT
114,Robert Turbin,Robert,Turbin,IND,RB,33,1989-12-02,Utah State,70,216,6,ACT
3332,Javorius Allen,Javorius,Allen,BAL,RB,37,1991-08-27,USC,72,222,3,ACT
3396,Shane Vereen,Shane,Vereen,NYG,RB,34,1989-03-02,California,70,205,7,ACT
5908,Mike Bell,Mike,Bell,None,None,None,1983-04-23,Arizona,72,225,6,None
5608,Orleans Darkwa,Orleans,Darkwa,NYG,RB,26,1992-02-28,Tulane,71,219,4,ACT
395,Dexter McCluster,Dexter,McCluster,None,None,22,1988-08-25,Mississippi,68,170,6,None
6778,Elijhaa Penny,Elijhaa,Penny,ARI,RB,35,1993-08-17,Idaho,73,234,1,ACT
2807,Felix Jones,Felix,Jones,None,None,23,1987-05-08,Arkansas,70,215,6,None
1319,Jordan Todman,Jordan,Todman,HOU,RB,6,1990-02-24,Connecticut,70,200,5,ACT
5809,Lance Dunbar,Lance,Dunbar,LA,RB,25,1990-01-25,North Texas,68,187,6,PUP
5715,Jonathan Dwyer,Jonathan,Dwyer,None,None,20,1989-07-26,Georgia Tech,71,229,5,None
4751,Brandon Jacobs,Brandon,Jacobs,None,None,34,1982-07-06,Southern Illinois,76,264,10,None
2594,LeGarrette Blount,LeGarrette,Blount,PHI,RB,29,1986-12-05,Oregon,72,250,8,ACT
4716,Akeem Hunt,Akeem,Hunt,KC,RB,31,1993-02-22,Purdue,70,185,3,ACT
2792,Montee Ball,Montee,Ball,None,None,28,1990-12-05,Wisconsin,70,215,3,None
7031,Joe Mixon,Joe,Mixon,CIN,RB,28,1996-07-24,Oklahoma,73,228,None,ACT
6999,Peyton Barber,Peyton,Barber,TB,RB,25,1994-02-27,Auburn,71,225,2,ACT
5498,LaDainian Tomlinson,LaDainian,Tomlinson,None,None,None,1979-06-23,Texas Christian,70,215,11,None
6870,Justin Davis,Justin,Davis,LA,RB,33,1995-11-11,USC,73,198,None,ACT
671,Leon Washington,Leon,Washington,None,None,29,1982-08-29,Florida State,68,192,9,None
6857,Marlon Mack,Marlon,Mack,IND,RB,25,1996-03-07,South Florida,71,210,None,ACT
3998,Alfred Morris,Alfred,Morris,DAL,RB,46,1988-12-12,Florida Atlantic,70,222,6,ACT
5400,Mike Goodson,Mike,Goodson,None,None,23,1987-05-23,Texas A&M,72,210,6,None
7105,Mack Brown,Mack,Brown,WAS,RB,34,1991-09-24,Florida,71,213,2,ACT
4993,Spencer Ware,Spencer,Ware,KC,RB,32,1991-11-23,LSU,70,229,4,RES
4853,Terron Ward,Terron,Ward,ATL,RB,28,1992-02-15,Oregon State,67,201,3,ACT
6116,Tre Mason,Tre,Mason,None,None,27,1993-08-06,Auburn,68,207,2,None
2647,DeMarco Murray,DeMarco,Murray,TEN,RB,29,1988-02-12,Oklahoma,73,220,7,ACT
6268,Latavius Murray,Latavius,Murray,MIN,RB,25,1990-01-18,Central Florida,75,230,5,ACT
802,Clinton Portis,Clinton,Portis,None,None,None,1981-09-01,Miami (Fla.),71,219,9,None
3041,Darren McFadden,Darren,McFadden,DAL,RB,20,1987-08-27,Arkansas,73,222,10,ACT
2125,Dwayne Washington,Dwayne,Washington,DET,RB,36,1994-04-24,Washington,73,223,2,ACT
3311,T.J. Yeldon,T.J.,Yeldon,JAC,RB,24,1993-10-02,Alabama,73,223,3,ACT
526,Duke Johnson,Duke,Johnson,CLE,RB,29,1993-09-23,Miami (Fla.),69,210,3,ACT
1003,Rex Burkhead,Rex,Burkhead,NE,RB,34,1990-07-02,Nebraska,70,210,5,ACT
6484,Marshawn Lynch,Marshawn,Lynch,OAK,RB,24,1986-04-22,California,71,215,10,ACT
4658,Cedric Peerman,Cedric,Peerman,CIN,RB,30,1986-10-10,Virginia,70,212,8,RES
2115,Andre Brown,Andre,Brown,None,None,33,1986-12-15,North Carolina State,72,227,6,None
2939,Rashad Jennings,Rashad,Jennings,None,None,23,1985-03-26,Liberty,73,231,8,None
1911,Taiwan Jones,Taiwan,Jones,BUF,RB,7,1988-07-26,Eastern Washington,72,195,7,ACT
1708,Chris Ivory,Chris,Ivory,JAC,RB,33,1988-03-22,Tiffin University,72,223,8,ACT
1715,Steve Slaton,Steve,Slaton,None,None,None,1986-01-04,West Virginia,69,208,5,None
2671,Malcolm Brown,Malcolm,Brown,LA,RB,34,1993-05-15,Texas,71,227,2,ACT
813,Arian Foster,Arian,Foster,None,None,29,1986-08-24,Tennessee,73,227,8,None
2184,Zach Line,Zach,Line,NO,RB,42,1990-04-26,Southern Methodist,73,233,5,ACT
1628,Jeremy Hill,Jeremy,Hill,CIN,RB,32,1992-10-20,LSU,73,230,4,ACT
123,Jason Snelling,Jason,Snelling,None,None,44,1983-12-29,Virginia,71,234,7,None
1463,Chris Thompson,Chris,Thompson,WAS,RB,25,1990-10-20,Florida State,68,191,4,ACT
2155,Zac Stacy,Zac,Stacy,None,None,30,1991-04-09,Vanderbilt,69,224,3,None
6932,Leonard Fournette,Leonard,Fournette,JAC,RB,27,1995-01-18,LSU,72,228,None,ACT
2859,Fozzy Whittaker,Fozzy,Whittaker,CAR,RB,43,1989-02-02,Texas,70,205,5,ACT
5035,Karlos Williams,Karlos,Williams,None,None,29,1993-05-04,Florida State,73,230,None,None
4174,Joseph Addai,Joseph,Addai,None,None,None,1983-05-03,LSU,71,214,6,None
2656,Daniel Thomas,Daniel,Thomas,None,None,37,1987-10-29,Kansas State,73,235,5,None
4460,Matt Forte,Matt,Forte,NYJ,RB,22,1985-12-10,Tulane,74,218,10,ACT
1211,Ray Rice,Ray,Rice,None,None,27,1987-01-22,Rutgers,68,206,7,None
6793,De'Angelo Henderson,De'Angelo,Henderson,DEN,RB,33,1992-11-24,Coastal Carolina,67,208,None,ACT
416,Jerome Harrison,Jerome,Harrison,None,None,None,1983-02-26,Washington State,69,205,7,None
4404,Ryan Grant,Ryan,Grant,None,None,None,1982-12-09,Notre Dame,73,222,7,None
7178,Terrell Watson,Terrell,Watson,PIT,RB,39,1993-08-22,Azusa Pacific,73,240,1,ACT
6587,Jeremy Langford,Jeremy,Langford,None,None,33,1991-12-06,Michigan State,72,211,2,None
1815,Doug Martin,Doug,Martin,TB,RB,22,1989-01-13,Boise State,69,223,6,ACT
1956,David Wilson,David,Wilson,None,None,22,1991-06-15,Virginia Tech,69,205,3,None
3927,Kahlil Bell,Kahlil,Bell,None,None,22,1986-12-10,UCLA,71,219,5,None
4431,Knowshon Moreno,Knowshon,Moreno,None,None,28,1987-07-16,Georgia,71,218,6,None
1008,Andre Ellington,Andre,Ellington,ARI,RB,38,1989-02-03,Clemson,69,199,5,ACT
1745,Melvin Gordon,Melvin,Gordon,SD,RB,28,1993-04-13,Wisconsin,73,215,3,ACT
2335,Kenyan Drake,Kenyan,Drake,MIA,RB,32,1994-01-26,Alabama,73,211,2,ACT
4639,Bilal Powell,Bilal,Powell,NYJ,RB,29,1988-10-27,Louisville,70,204,7,ACT
3397,Mikel Leshoure,Mikel,Leshoure,None,None,25,1990-03-30,Illinois,72,233,4,None
3877,Tyler Ervin,Tyler,Ervin,HOU,RB,34,1993-10-07,San Jose State,70,180,2,RES
1256,Thomas Rawls,Thomas,Rawls,SEA,RB,34,1993-08-03,Central Michigan,69,215,3,ACT
2461,Brian Westbrook,Brian,Westbrook,None,None,None,1979-09-02,Villanova,70,203,9,None
5212,Mike Gillislee,Mike,Gillislee,NE,RB,35,1990-11-01,Florida,71,219,5,ACT
4078,Willis McGahee,Willis,McGahee,None,None,26,1981-10-21,Miami (Fla.),72,235,11,None
4746,Jackie Battle,Jackie,Battle,None,None,44,1983-10-01,Houston,74,240,8,None
3583,Dion Lewis,Dion,Lewis,NE,RB,33,1990-09-27,Pittsburgh,68,195,6,ACT
6249,Jonathan Grimes,Jonathan,Grimes,None,None,41,1989-12-21,William & Mary,70,209,4,None
597,Kenneth Dixon,Kenneth,Dixon,BAL,RB,30,1994-01-21,Louisiana Tech,70,223,2,RES
6890,Corey Clement,Corey,Clement,PHI,RB,30,1994-11-02,Wisconsin,70,220,None,ACT
4354,Matt Jones,Matt,Jones,IND,RB,34,1993-03-07,Florida,74,239,3,ACT
5855,BenJarvus Green-Ellis,BenJarvus,Green-Ellis,None,None,42,1985-07-02,Mississippi,71,220,7,None
223,DuJuan Harris,DuJuan,Harris,None,None,32,1988-09-03,Troy,68,206,3,None
2558,Brandon Jackson,Brandon,Jackson,None,None,None,1985-10-02,Nebraska,70,215,7,None
2551,Vick Ballard,Vick,Ballard,None,None,26,1990-07-16,Mississippi State,70,224,4,None
2203,Tashard Choice,Tashard,Choice,None,None,43,1984-11-20,Georgia Tech,70,210,6,None
5213,Christine Michael,Christine,Michael,IND,RB,32,1990-11-09,Texas A&M;,70,221,5,RES
2602,Alfred Blue,Alfred,Blue,HOU,RB,28,1991-04-27,LSU,74,225,4,ACT
6626,Ezekiel Elliott,Ezekiel,Elliott,DAL,RB,21,1995-07-22,Ohio State,72,228,2,SUS
5060,Antonio Andrews,Antonio,Andrews,None,None,26,1992-08-17,Western Kentucky,70,225,3,None
1162,Marion Barber,Marion,Barber,None,None,None,1983-06-10,Minnesota,71,218,7,None
6925,J.D. McKissic,J.D.,McKissic,SEA,RB,21,1993-08-15,Arkansas State,70,195,1,ACT
2586,DeAndre Washington,DeAndre,Washington,OAK,RB,33,1993-02-22,Texas Tech,68,205,2,ACT
2785,Brian Leonard,Brian,Leonard,None,None,40,1984-02-03,Rutgers,73,225,8,None
2897,Tim Hightower,Tim,Hightower,None,None,34,1986-05-23,Richmond,72,220,6,None
662,Larry Johnson,Larry,Johnson,None,None,None,1979-11-19,Penn State,73,235,9,None
2216,James Starks,James,Starks,None,None,44,1986-02-25,Buffalo,74,218,7,None
4659,Justin Forsett,Justin,Forsett,None,None,29,1985-10-14,California,68,195,9,None
2392,Shonn Greene,Shonn,Greene,None,None,23,1985-08-21,Iowa,71,233,7,None
4024,Le'Veon Bell,Le'Veon,Bell,PIT,RB,26,1992-02-18,Michigan State,73,225,5,ACT
6957,Tarik Cohen,Tarik,Cohen,CHI,RB,29,1995-07-26,North Carolina A&T;,66,181,None,ACT
738,Cedric Benson,Cedric,Benson,None,None,None,1982-12-28,Texas,71,227,8,None
1251,Ameer Abdullah,Ameer,Abdullah,DET,RB,21,1993-06-13,Nebraska,69,203,3,ACT
1531,Stevan Ridley,Stevan,Ridley,None,None,22,1989-01-27,LSU,71,220,5,None
6430,Kenneth Farrow,Kenneth,Farrow,SD,RB,27,1993-03-07,Houston,69,219,2,RES
4033,Derrick Ward,Derrick,Ward,None,None,None,1980-08-30,Ottawa (Kans.),71,240,8,None
6079,Ronnie Hillman,Ronnie,Hillman,None,None,23,1991-09-14,San Diego State,70,195,4,None
7015,C.J. Ham,C.J.,Ham,MIN,RB,30,1993-07-22,Augustana (S.D.),71,235,1,ACT
6030,Zach Zenner,Zach,Zenner,DET,RB,34,1991-09-13,South Dakota State,71,221,3,ACT
5368,Toby Gerhart,Toby,Gerhart,None,None,21,1987-03-28,Stanford,72,235,6,None
4386,Beanie Wells,Beanie,Wells,None,None,None,1988-08-07,Ohio State,74,229,4,None
5450,Kendall Hunter,Kendall,Hunter,None,None,48,1988-09-16,Oklahoma State,67,199,5,None
3587,Jacquizz Rodgers,Jacquizz,Rodgers,TB,RB,32,1990-02-06,Oregon State,66,205,7,ACT
6099,James White,James,White,NE,RB,28,1992-02-03,Wisconsin,70,205,4,ACT
2380,C.J. Prosise,C.J.,Prosise,SEA,RB,22,1994-05-20,Notre Dame,73,225,2,ACT
4937,Jerick McKinnon,Jerick,McKinnon,MIN,RB,21,1992-05-03,Georgia Southern,69,205,4,ACT
2678,Maurice Morris,Maurice,Morris,None,None,None,1979-12-01,Oregon,71,216,10,None
7175,D'Onta Foreman,D'Onta,Foreman,HOU,RB,27,1996-04-24,Texas,72,235,None,ACT
551,David Fluellen,David,Fluellen,TEN,RB,32,1992-01-29,Toledo,71,224,1,ACT
6117,Charles Sims,Charles,Sims,TB,RB,34,1990-09-19,West Virginia,72,211,4,ACT
5366,Josh Cribbs,Josh,Cribbs,None,None,None,1983-06-09,Kent State,73,192,10,None
1096,Rod Smith,Rod,Smith,DAL,RB,45,1992-01-10,Ohio State,75,235,3,ACT
2808,Rashard Mendenhall,Rashard,Mendenhall,None,None,28,1987-06-19,Illinois,70,225,6,None
7126,Austin Ekeler,Austin,Ekeler,SD,RB,30,1995-05-17,Western State (Colo.),69,200,None,ACT
3550,Steven Jackson,Steven,Jackson,None,None,39,1983-07-22,Oregon State,74,240,12,None
6993,Matt Dayes,Matt,Dayes,CLE,RB,27,1994-09-03,North Carolina State,68,205,None,ACT
7134,Samaje Perine,Samaje,Perine,WAS,RB,32,1995-09-16,Oklahoma,70,236,None,ACT
5860,Carlos Hyde,Carlos,Hyde,SF,RB,28,1990-09-20,Ohio State,72,235,4,ACT
4826,Chris Ogbonnaya,Chris,Ogbonnaya,None,None,47,1986-05-20,Texas,72,225,6,None
6489,Adrian Peterson,Adrian,Peterson,ARI,RB,23,1985-03-21,Oklahoma,73,220,11,ACT
4382,Donald Brown,Donald,Brown,None,None,34,1987-04-11,Connecticut,70,207,7,None
2099,Ben Tate,Ben,Tate,None,None,34,1988-08-21,Auburn,70,220,5,None
1467,Bryce Brown,Bryce,Brown,None,None,36,1991-05-14,Kansas State,72,220,4,None
467,Michael Bush,Michael,Bush,None,None,29,1984-06-16,Louisville,73,245,8,None
7173,Elijah McGuire,Elijah,McGuire,NYJ,RB,35,1994-06-01,Louisiana-Lafayette,70,214,None,ACT
3420,Jordan Howard,Jordan,Howard,CHI,RB,24,1994-11-02,Indiana,72,224,2,ACT
3421,Montario Hardesty,Montario,Hardesty,None,None,None,1987-02-01,Tennessee,72,225,4,None
6502,Jonathan Stewart,Jonathan,Stewart,CAR,RB,28,1987-03-21,Oregon,70,240,10,ACT
7089,Kareem Hunt,Kareem,Hunt,KC,RB,27,1995-08-06,Toledo,70,216,None,ACT
650,Shaun Draughn,Shaun,Draughn,None,None,24,1987-12-07,North Carolina,71,205,4,None
4181,DeAngelo Williams,DeAngelo,Williams,None,None,34,1983-04-25,Memphis,69,207,11,None
1965,Kevin Smith,Kevin,Smith,None,None,None,1986-12-17,Central Florida,73,217,5,None
5474,Giovani Bernard,Giovani,Bernard,CIN,RB,25,1991-11-22,North Carolina,69,205,5,ACT
201,Reggie Bush,Reggie,Bush,None,None,22,1985-03-02,USC,72,205,11,None
3083,Cameron Artis-Payne,Cameron,Artis-Payne,CAR,RB,34,1990-06-23,Auburn,70,215,3,ACT
3694,Fred Jackson,Fred,Jackson,None,None,22,1981-02-20,Coe,73,215,9,None
2477,George Winn,George,Winn,IND,RB,44,1990-11-10,Cincinnati,71,215,3,RES
3081,Khiry Robinson,Khiry,Robinson,None,None,29,1989-12-28,West Texas A&M,72,220,3,None
6992,Chris Carson,Chris,Carson,SEA,RB,32,1994-09-16,Oklahoma State,71,218,None,RES
2813,Chris Johnson,Chris,Johnson,None,None,23,1985-09-23,East Carolina,71,203,9,None
1108,Peyton Hillis,Peyton,Hillis,None,None,33,1986-01-21,Arkansas,74,250,7,None
2293,Travaris Cadet,Travaris,Cadet,NYJ,RB,39,1989-02-01,Appalachian State,73,210,6,ACT
3322,Keith Marshall,Keith,Marshall,WAS,RB,39,1994-02-16,Georgia,71,222,2,RES
6772,DJ Pumphrey,DJ,Pumphrey,PHI,RB,34,1994-12-06,San Diego State,69,176,None,RES
6869,Lenard Tillery,Lenard,Tillery,LA,RB,41,1993-12-09,Southern University,70,198,None,RES
7161,Devante Mays,Devante,Mays,GB,RB,32,1994-05-26,Utah State,70,230,None,ACT
6881,Tion Green,Tion,Green,DET,RB,38,1993-12-14,Cincinnati,72,220,None,ACT
7086,Alex Armah,Alex,Armah,CAR,RB,40,1994-05-17,West Georgia,73,255,None,ACT
6620,Darius Jackson,Darius,Jackson,CLE,RB,35,1993-12-01,Eastern Michigan,72,221,2,RES
6777,Brian Hill,Brian,Hill,ATL,RB,25,1995-11-09,Wyoming,73,219,None,ACT
6988,Taquan Mizzell,Taquan,Mizzell,CHI,RB,33,1993-10-21,Virginia,70,185,None,ACT
7127,I'Tavius Mathers,I'Tavius,Mathers,JAC,RB,43,1993-11-19,Middle Tennessee State,71,203,None,RES
6973,T.J. Logan,T.J.,Logan,ARI,RB,22,1994-09-03,North Carolina,70,196,None,RES
7139,Tra Carson,Tra,Carson,CIN,RB,33,1992-10-24,Texas A&M;,71,228,1,RES
6815,Joe Williams,Joe,Williams,SF,RB,32,1993-09-04,Utah,71,205,None,RES
510,Tyler Gaffney,Tyler,Gaffney,JAC,RB,35,1991-04-20,Stanford,72,220,3,RES
6787,Akeem Judd,Akeem,Judd,TEN,RB,38,1992-12-11,Mississippi,70,225,None,RES
